iPriceId , clarity , color , weight_from , weight_to , price
1	,	IF	,	D	,	0.01	,	0.03	,	1230
2	,	VVS1	,	D	,	0.01	,	0.03	,	1230
3	,	VVS2	,	D	,	0.01	,	0.03	,	1230
4	,	VS1	,	D	,	0.01	,	0.03	,	980
5	,	VS2	,	D	,	0.01	,	0.03	,	980
6	,	SI1	,	D	,	0.01	,	0.03	,	710
7	,	SI2	,	D	,	0.01	,	0.03	,	580
8	,	SI3	,	D	,	0.01	,	0.03	,	480
9	,	I1	,	D	,	0.01	,	0.03	,	440
10	,	I2	,	D	,	0.01	,	0.03	,	390
11	,	I3	,	D	,	0.01	,	0.03	,	320
12	,	IF	,	E	,	0.01	,	0.03	,	1230
13	,	VVS1	,	E	,	0.01	,	0.03	,	1230
14	,	VVS2	,	E	,	0.01	,	0.03	,	1230
15	,	VS1	,	E	,	0.01	,	0.03	,	980
16	,	VS2	,	E	,	0.01	,	0.03	,	980
17	,	SI1	,	E	,	0.01	,	0.03	,	710
18	,	SI2	,	E	,	0.01	,	0.03	,	580
19	,	SI3	,	E	,	0.01	,	0.03	,	480
20	,	I1	,	E	,	0.01	,	0.03	,	440
21	,	I2	,	E	,	0.01	,	0.03	,	390
22	,	I3	,	E	,	0.01	,	0.03	,	320
23	,	IF	,	F	,	0.01	,	0.03	,	1230
24	,	VVS1	,	F	,	0.01	,	0.03	,	1230
25	,	VVS2	,	F	,	0.01	,	0.03	,	1230
26	,	VS1	,	F	,	0.01	,	0.03	,	980
27	,	VS2	,	F	,	0.01	,	0.03	,	980
28	,	SI1	,	F	,	0.01	,	0.03	,	710
29	,	SI2	,	F	,	0.01	,	0.03	,	580
30	,	SI3	,	F	,	0.01	,	0.03	,	480
31	,	I1	,	F	,	0.01	,	0.03	,	440
32	,	I2	,	F	,	0.01	,	0.03	,	390
33	,	I3	,	F	,	0.01	,	0.03	,	320
34	,	IF	,	G	,	0.01	,	0.03	,	980
35	,	VVS1	,	G	,	0.01	,	0.03	,	980
36	,	VVS2	,	G	,	0.01	,	0.03	,	980
37	,	VS1	,	G	,	0.01	,	0.03	,	830
38	,	VS2	,	G	,	0.01	,	0.03	,	830
39	,	SI1	,	G	,	0.01	,	0.03	,	630
40	,	SI2	,	G	,	0.01	,	0.03	,	540
